t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00001282,-0.00000181,0.00184432,0.00001058,-0.00007897,0.00000042,-0.00076932,-0.00010847,0.11065944,0.00063509,-0.00473792,0.00002548
0.03333333,-0.00003752,-0.00000534,0.00546496,0.00002974,-0.00022889,0.00000120,-0.00146495,-0.00021437,0.21723839,0.00114936,-0.00899525,0.00004641
0.05000000,-0.00007379,-0.00001012,0.01078595,0.00005407,-0.00044390,0.00000224,-0.00210261,-0.00029609,0.31925985,0.00145991,-0.01290060,0.00006302
0.06666667,-0.00012161,-0.00001602,0.01772496,0.00008285,-0.00071903,0.00000359,-0.00268463,-0.00037663,0.41634195,0.00172686,-0.01650801,0.00008164
0.08333333,-0.00018124,-0.00002303,0.02619492,0.00011612,-0.00105002,0.00000526,-0.00321239,-0.00046267,0.50819998,0.00199594,-0.01985929,0.00010218
0.10000000,-0.00025316,-0.00003142,0.03610560,0.00015554,-0.00143347,0.00000748,-0.00369067,-0.00057235,0.59464468,0.00236549,-0.02300696,0.00013546
0.11666667,-0.00033822,-0.00004097,0.04736511,0.00020014,-0.00186768,0.00001036,-0.00413512,-0.00067805,0.67557735,0.00267607,-0.02605254,0.00017716
0.13333333,-0.00043752,-0.00005145,0.05988132,0.00024906,-0.00235207,0.00001394,-0.00455540,-0.00077883,0.75098229,0.00293552,-0.02906364,0.00022064
0.15000000,-0.00055194,-0.00006261,0.07356305,0.00030155,-0.00288472,0.00001799,-0.00493480,-0.00087395,0.82091755,0.00315010,-0.03195879,0.00025109
0.16666667,-0.00068227,-0.00007485,0.08832115,0.00036011,-0.00346302,0.00002270,-0.00526513,-0.00100156,0.88550435,0.00351448,-0.03469786,0.00029294
0.18333333,-0.00082984,-0.00008787,0.10406934,0.00042355,-0.00408721,0.00002810,-0.00558228,-0.00112109,0.94491623,0.00380778,-0.03745147,0.00033753
0.20000000,-0.00099537,-0.00010169,0.12072495,0.00049236,-0.00475421,0.00003415,-0.00584687,-0.00125226,0.99936808,0.00412987,-0.04001954,0.00037965
0.21666667,-0.00117991,-0.00011631,0.13820937,0.00056683,-0.00546269,0.00004112,-0.00608504,-0.00139351,1.04910588,0.00447018,-0.04250908,0.00043910
0.23333333,-0.00138405,-0.00013173,0.15644850,0.00064706,-0.00620909,0.00004890,-0.00627050,-0.00154487,1.09439719,0.00481642,-0.04478339,0.00049263
0.25000000,-0.00160855,-0.00014788,0.17537286,0.00073293,-0.00699058,0.00005768,-0.00641937,-0.00170316,1.13552277,0.00515519,-0.04688924,0.00055699
0.26666667,-0.00185372,-0.00016505,0.19491780,0.00082536,-0.00780266,0.00006748,-0.00651203,-0.00188904,1.17276933,0.00555023,-0.04872446,0.00062354
0.28333333,-0.00211987,-0.00018278,0.21502341,0.00092253,-0.00864081,0.00007849,-0.00655643,-0.00205808,1.20642348,0.00583544,-0.05028796,0.00070208
