t,x,y,z,roll,pitch,heading,u,v,w,p,q,r
0.01666667,-0.00000179,0.00000070,0.00184432,-0.00000464,-0.00001231,-0.00000039,-0.00010740,0.00004229,0.11065944,-0.00027859,-0.00073844,-0.00002356
0.03333333,-0.00000527,0.00000204,0.00546496,-0.00001278,-0.00003577,-0.00000109,-0.00020602,0.00008134,0.21723840,-0.00048800,-0.00140779,-0.00004213
0.05000000,-0.00001052,0.00000392,0.01078596,-0.00002347,-0.00007027,-0.00000209,-0.00030342,0.00011666,0.31925988,-0.00064154,-0.00207021,-0.00005983
0.06666667,-0.00001783,0.00000622,0.01772500,-0.00003597,-0.00011698,-0.00000355,-0.00040964,0.00014798,0.41634204,-0.00075016,-0.00280233,-0.00008745
0.08333333,-0.00002764,0.00000884,0.02619500,-0.00004969,-0.00017761,-0.00000518,-0.00052928,0.00017523,0.50820017,-0.00082289,-0.00363790,-0.00009813
0.10000000,-0.00004039,0.00001165,0.03610575,-0.00006414,-0.00025358,-0.00000696,-0.00065898,0.00019845,0.59464503,-0.00086705,-0.00455806,-0.00010705
0.11666667,-0.00005663,0.00001512,0.04736537,-0.00008246,-0.00034692,-0.00000886,-0.00080319,0.00025130,0.67557793,-0.00109927,-0.00560066,-0.00011433
0.13333333,-0.00007689,0.00001905,0.05988176,-0.00010351,-0.00045906,-0.00001077,-0.00095514,0.00029746,0.75098321,-0.00126298,-0.00672799,-0.00011522
0.15000000,-0.00010188,0.00002325,0.07356373,-0.00012638,-0.00059206,-0.00001268,-0.00112250,0.00033709,0.82091893,-0.00137244,-0.00798008,-0.00011547
0.16666667,-0.00013226,0.00002807,0.08832215,-0.00015334,-0.00074750,-0.00001427,-0.00129880,0.00040096,0.88550634,-0.00161783,-0.00932651,-0.00009644
0.18333333,-0.00016863,0.00003326,0.10407078,-0.00018315,-0.00092588,-0.00001573,-0.00147553,0.00045637,0.94491899,-0.00178831,-0.01070279,-0.00008912
0.20000000,-0.00021145,0.00003909,0.12072695,-0.00021743,-0.00112699,-0.00001674,-0.00164395,0.00053281,0.99937184,-0.00205712,-0.01206638,-0.00006269
0.21666667,-0.00026139,0.00004576,0.13821208,-0.00025719,-0.00135117,-0.00001747,-0.00181394,0.00062804,1.04911088,-0.00238568,-0.01345104,-0.00004676
0.23333333,-0.00031852,0.00005294,0.15645209,-0.00030087,-0.00159566,-0.00001778,-0.00194935,0.00071229,1.09440372,-0.00262050,-0.01466935,-0.00002255
